#        mag         err
#
          14    0.005008
        14.1    0.005009
        14.2     0.00501
        14.3     0.00501
        14.4    0.005012
        14.5    0.005013
        14.6    0.005014
        14.7    0.005015
        14.8    0.005017
        14.9    0.005018
          15     0.00502
        15.1    0.005022
        15.2    0.005024
        15.3    0.005026
        15.4    0.005029
        15.5    0.005032
        15.6    0.005035
        15.7    0.005038
        15.8    0.005042
        15.9    0.005046
          16     0.00505
        16.1    0.005055
        16.2     0.00506
        16.3    0.005066
        16.4    0.005073
        16.5     0.00508
        16.6    0.005087
        16.7    0.005096
        16.8    0.005105
        16.9    0.005115
          17    0.005126
        17.1    0.005138
        17.2    0.005152
        17.3    0.005166
        17.4    0.005182
        17.5      0.0052
        17.6    0.005219
        17.7     0.00524
        17.8    0.005263
        17.9    0.005289
          18    0.005317
        18.1    0.005347
        18.2     0.00538
        18.3    0.005417
        18.4    0.005457
        18.5    0.005501
        18.6    0.005549
        18.7    0.005602
        18.8     0.00566
        18.9    0.005724
          19    0.005793
        19.1     0.00587
        19.2    0.005953
        19.3    0.006045
        19.4    0.006145
        19.5    0.006256
        19.6    0.006376
        19.7    0.006508
        19.8    0.006653
        19.9    0.006812
          20    0.006986
        20.1    0.007176
        20.2    0.007385
        20.3    0.007614
        20.4    0.007864
        20.5    0.008139
        20.6     0.00844
        20.7     0.00877
        20.8    0.009131
        20.9    0.009527
          21    0.009961
        21.1     0.01044
        21.2     0.01096
        21.3     0.01153
        21.4     0.01215
        21.5     0.01284
        21.6     0.01359
        21.7     0.01441
        21.8     0.01532
        21.9     0.01631
          22     0.01739
        22.1     0.01858
        22.2     0.01988
        22.3     0.02131
        22.4     0.02288
        22.5      0.0246
        22.6     0.02648
        22.7     0.02854
        22.8     0.03081
        22.9     0.03329
          23     0.03601
        23.1     0.03899
        23.2     0.04226
        23.3     0.04584
        23.4     0.04977
        23.5     0.05408
        23.6     0.05881
        23.7     0.06399
        23.8     0.06967
        23.9      0.0759
          24     0.08273
        24.1     0.09022
        24.2     0.09843
        24.3      0.1074
        24.4      0.1173
        24.5      0.1281
        24.6        0.14
        24.7       0.153
        24.8      0.1673
        24.9      0.1829
          25      0.2001
        25.1      0.2189
        25.2      0.2395
        25.3      0.2621
        25.4      0.2869
        25.5      0.3141
        25.6      0.3439
        25.7      0.3766
        25.8      0.4124
        25.9      0.4517
          26      0.4948
