#        mag         err
#
          14     0.00501
        14.1    0.005011
        14.2    0.005012
        14.3    0.005013
        14.4    0.005015
        14.5    0.005016
        14.6    0.005017
        14.7    0.005019
        14.8    0.005021
        14.9    0.005023
          15    0.005025
        15.1    0.005028
        15.2     0.00503
        15.3    0.005033
        15.4    0.005037
        15.5     0.00504
        15.6    0.005044
        15.7    0.005049
        15.8    0.005053
        15.9    0.005058
          16    0.005064
        16.1    0.005071
        16.2    0.005078
        16.3    0.005085
        16.4    0.005094
        16.5    0.005103
        16.6    0.005113
        16.7    0.005124
        16.8    0.005137
        16.9     0.00515
          17    0.005166
        17.1    0.005182
        17.2    0.005201
        17.3    0.005221
        17.4    0.005244
        17.5    0.005269
        17.6    0.005296
        17.7    0.005327
        17.8    0.005361
        17.9    0.005399
          18    0.005441
        18.1    0.005487
        18.2    0.005539
        18.3    0.005597
        18.4    0.005661
        18.5    0.005733
        18.6    0.005812
        18.7    0.005902
        18.8    0.006001
        18.9    0.006113
          19    0.006237
        19.1    0.006376
        19.2    0.006531
        19.3    0.006705
        19.4    0.006899
        19.5    0.007117
        19.6    0.007359
        19.7     0.00763
        19.8    0.007932
        19.9    0.008269
          20    0.008644
        20.1    0.009062
        20.2    0.009527
        20.3     0.01004
        20.4     0.01062
        20.5     0.01125
        20.6     0.01196
        20.7     0.01274
        20.8      0.0136
        20.9     0.01455
          21      0.0156
        21.1     0.01676
        21.2     0.01804
        21.3     0.01944
        21.4     0.02099
        21.5     0.02269
        21.6     0.02457
        21.7     0.02663
        21.8     0.02889
        21.9     0.03137
          22      0.0341
        22.1      0.0371
        22.2     0.04039
        22.3       0.044
        22.4     0.04797
        22.5     0.05232
        22.6     0.05709
        22.7     0.06232
        22.8     0.06806
        22.9     0.07436
          23     0.08127
        23.1     0.08884
        23.2     0.09715
        23.3      0.1063
        23.4      0.1163
        23.5      0.1272
        23.6      0.1392
        23.7      0.1524
        23.8      0.1668
        23.9      0.1827
          24      0.2001
        24.1      0.2191
        24.2        0.24
        24.3      0.2629
        24.4       0.288
        24.5      0.3156
        24.6      0.3457
        24.7      0.3789
        24.8      0.4152
        24.9       0.455
          25      0.4986
        25.1      0.5465
        25.2      0.5989
        25.3      0.6565
        25.4      0.7196
        25.5      0.7887
        25.6      0.8646
        25.7      0.9478
        25.8       1.039
        25.9       1.139
          26       1.249
