#        mag         err
#
          14    0.005005
        14.1    0.005006
        14.2    0.005006
        14.3    0.005007
        14.4    0.005008
        14.5    0.005008
        14.6    0.005009
        14.7     0.00501
        14.8    0.005011
        14.9    0.005012
          15    0.005013
        15.1    0.005015
        15.2    0.005016
        15.3    0.005017
        15.4    0.005019
        15.5    0.005021
        15.6    0.005023
        15.7    0.005025
        15.8    0.005028
        15.9     0.00503
          16    0.005033
        16.1    0.005037
        16.2     0.00504
        16.3    0.005044
        16.4    0.005049
        16.5    0.005053
        16.6    0.005058
        16.7    0.005064
        16.8    0.005071
        16.9    0.005078
          17    0.005085
        17.1    0.005094
        17.2    0.005103
        17.3    0.005113
        17.4    0.005124
        17.5    0.005137
        17.6     0.00515
        17.7    0.005166
        17.8    0.005182
        17.9    0.005201
          18    0.005221
        18.1    0.005244
        18.2    0.005269
        18.3    0.005296
        18.4    0.005327
        18.5    0.005361
        18.6    0.005399
        18.7    0.005441
        18.8    0.005487
        18.9    0.005539
          19    0.005597
        19.1    0.005661
        19.2    0.005733
        19.3    0.005812
        19.4    0.005902
        19.5    0.006001
        19.6    0.006113
        19.7    0.006237
        19.8    0.006376
        19.9    0.006531
          20    0.006705
        20.1    0.006899
        20.2    0.007117
        20.3    0.007359
        20.4     0.00763
        20.5    0.007932
        20.6    0.008269
        20.7    0.008644
        20.8    0.009062
        20.9    0.009527
          21     0.01004
        21.1     0.01062
        21.2     0.01125
        21.3     0.01196
        21.4     0.01274
        21.5      0.0136
        21.6     0.01455
        21.7      0.0156
        21.8     0.01676
        21.9     0.01804
          22     0.01944
        22.1     0.02099
        22.2     0.02269
        22.3     0.02457
        22.4     0.02663
        22.5     0.02889
        22.6     0.03137
        22.7      0.0341
        22.8      0.0371
        22.9     0.04039
          23       0.044
        23.1     0.04797
        23.2     0.05232
        23.3     0.05709
        23.4     0.06232
        23.5     0.06806
        23.6     0.07436
        23.7     0.08127
        23.8     0.08884
        23.9     0.09715
          24      0.1063
        24.1      0.1163
        24.2      0.1272
        24.3      0.1392
        24.4      0.1524
        24.5      0.1668
        24.6      0.1827
        24.7      0.2001
        24.8      0.2191
        24.9        0.24
          25      0.2629
        25.1       0.288
        25.2      0.3156
        25.3      0.3457
        25.4      0.3789
        25.5      0.4152
        25.6       0.455
        25.7      0.4986
        25.8      0.5465
        25.9      0.5989
          26      0.6565
