#        mag         err
#
          14    0.005033
        14.1    0.005036
        14.2    0.005039
        14.3    0.005043
        14.4    0.005047
        14.5    0.005052
        14.6    0.005057
        14.7    0.005062
        14.8    0.005068
        14.9    0.005075
          15    0.005082
        15.1     0.00509
        15.2    0.005099
        15.3    0.005108
        15.4    0.005119
        15.5     0.00513
        15.6    0.005142
        15.7    0.005156
        15.8    0.005171
        15.9    0.005187
          16    0.005205
        16.1    0.005225
        16.2    0.005246
        16.3    0.005269
        16.4    0.005295
        16.5    0.005323
        16.6    0.005354
        16.7    0.005387
        16.8    0.005423
        16.9    0.005463
          17    0.005507
        17.1    0.005554
        17.2    0.005606
        17.3    0.005663
        17.4    0.005724
        17.5    0.005792
        17.6    0.005865
        17.7    0.005945
        17.8    0.006032
        17.9    0.006126
          18    0.006229
        18.1    0.006341
        18.2    0.006462
        18.3    0.006595
        18.4    0.006738
        18.5    0.006894
        18.6    0.007063
        18.7    0.007247
        18.8    0.007446
        18.9    0.007662
          19    0.007896
        19.1     0.00815
        19.2    0.008425
        19.3    0.008723
        19.4    0.009047
        19.5    0.009397
        19.6    0.009777
        19.7     0.01019
        19.8     0.01064
        19.9     0.01112
          20     0.01165
        20.1     0.01222
        20.2     0.01284
        20.3     0.01352
        20.4     0.01425
        20.5     0.01505
        20.6     0.01592
        20.7     0.01686
        20.8     0.01789
        20.9     0.01902
          21     0.02024
        21.1     0.02158
        21.2     0.02303
        21.3     0.02462
        21.4     0.02636
        21.5     0.02826
        21.6     0.03034
        21.7     0.03261
        21.8      0.0351
        21.9     0.03781
          22     0.04079
        22.1     0.04405
        22.2     0.04761
        22.3     0.05152
        22.4      0.0558
        22.5     0.06048
        22.6     0.06562
        22.7     0.07124
        22.8     0.07741
        22.9     0.08416
          23     0.09157
        23.1     0.09969
        23.2      0.1086
        23.3      0.1183
        23.4       0.129
        23.5      0.1407
        23.6      0.1536
        23.7      0.1677
        23.8      0.1831
        23.9      0.2001
          24      0.2186
        24.1       0.239
        24.2      0.2613
        24.3      0.2858
        24.4      0.3126
        24.5       0.342
        24.6      0.3743
        24.7      0.4096
        24.8      0.4484
        24.9      0.4909
          25      0.5376
        25.1      0.5887
        25.2      0.6447
        25.3      0.7062
        25.4      0.7735
        25.5      0.8474
        25.6      0.9284
        25.7       1.017
        25.8       1.115
        25.9       1.221
          26       1.339
