#        mag         err
#
          14    0.005001
        14.1    0.005002
        14.2    0.005002
        14.3    0.005002
        14.4    0.005003
        14.5    0.005003
        14.6    0.005004
        14.7    0.005005
        14.8    0.005006
        14.9    0.005007
          15    0.005008
        15.1     0.00501
        15.2    0.005012
        15.3    0.005015
        15.4    0.005017
        15.5    0.005021
        15.6    0.005025
        15.7     0.00503
        15.8    0.005036
        15.9    0.005044
          16    0.005052
        16.1    0.005063
        16.2    0.005076
        16.3    0.005091
        16.4    0.005109
        16.5    0.005131
        16.6    0.005157
        16.7    0.005188
        16.8    0.005225
        16.9    0.005269
          17    0.005322
        17.1    0.005385
        17.2     0.00546
        17.3    0.005548
        17.4    0.005653
        17.5    0.005776
        17.6     0.00592
        17.7    0.006089
        17.8    0.006287
        17.9    0.006516
          18    0.006782
        18.1    0.007088
        18.2    0.007439
        18.3    0.007841
        18.4    0.008298
        18.5    0.008816
        18.6    0.009402
        18.7     0.01006
        18.8      0.0108
        18.9     0.01163
          19     0.01255
        19.1     0.01357
        19.2     0.01471
        19.3     0.01597
        19.4     0.01737
        19.5     0.01891
        19.6     0.02062
        19.7     0.02249
        19.8     0.02456
        19.9     0.02684
          20     0.02934
        20.1     0.03209
        20.2     0.03511
        20.3     0.03844
        20.4     0.04208
        20.5     0.04609
        20.6     0.05049
        20.7     0.05531
        20.8     0.06061
        20.9     0.06641
          21     0.07279
        21.1     0.07978
        21.2     0.08745
        21.3     0.09586
        21.4      0.1051
        21.5      0.1152
        21.6      0.1263
        21.7      0.1385
        21.8      0.1518
        21.9      0.1664
          22      0.1825
        22.1      0.2001
        22.2      0.2194
        22.3      0.2405
        22.4      0.2637
        22.5      0.2891
        22.6       0.317
        22.7      0.3476
        22.8      0.3811
        22.9      0.4179
          23      0.4582
        23.1      0.5024
        23.2      0.5509
        23.3       0.604
        23.4      0.6623
        23.5      0.7262
        23.6      0.7962
        23.7       0.873
        23.8      0.9573
        23.9        1.05
          24       1.151
        24.1       1.262
        24.2       1.384
        24.3       1.517
        24.4       1.664
        24.5       1.824
        24.6           2
        24.7       2.193
        24.8       2.405
        24.9       2.637
          25       2.891
        25.1        3.17
        25.2       3.476
        25.3       3.811
        25.4       4.179
        25.5       4.582
        25.6       5.024
        25.7       5.508
        25.8        6.04
        25.9       6.623
          26       7.262
