#        mag         err
#
          14       0.005
        14.1       0.005
        14.2       0.005
        14.3       0.005
        14.4       0.005
        14.5       0.005
        14.6       0.005
        14.7    0.005001
        14.8    0.005001
        14.9    0.005001
          15    0.005001
        15.1    0.005001
        15.2    0.005001
        15.3    0.005002
        15.4    0.005002
        15.5    0.005002
        15.6    0.005003
        15.7    0.005003
        15.8    0.005004
        15.9    0.005005
          16    0.005006
        16.1    0.005007
        16.2    0.005008
        16.3     0.00501
        16.4    0.005012
        16.5    0.005015
        16.6    0.005017
        16.7    0.005021
        16.8    0.005025
        16.9     0.00503
          17    0.005036
        17.1    0.005044
        17.2    0.005052
        17.3    0.005063
        17.4    0.005076
        17.5    0.005091
        17.6    0.005109
        17.7    0.005131
        17.8    0.005157
        17.9    0.005188
          18    0.005225
        18.1    0.005269
        18.2    0.005322
        18.3    0.005385
        18.4     0.00546
        18.5    0.005548
        18.6    0.005653
        18.7    0.005776
        18.8     0.00592
        18.9    0.006089
          19    0.006287
        19.1    0.006516
        19.2    0.006782
        19.3    0.007088
        19.4    0.007439
        19.5    0.007841
        19.6    0.008298
        19.7    0.008816
        19.8    0.009402
        19.9     0.01006
          20      0.0108
        20.1     0.01163
        20.2     0.01255
        20.3     0.01357
        20.4     0.01471
        20.5     0.01597
        20.6     0.01737
        20.7     0.01891
        20.8     0.02062
        20.9     0.02249
          21     0.02456
        21.1     0.02684
        21.2     0.02934
        21.3     0.03209
        21.4     0.03511
        21.5     0.03844
        21.6     0.04208
        21.7     0.04609
        21.8     0.05049
        21.9     0.05531
          22     0.06061
        22.1     0.06641
        22.2     0.07279
        22.3     0.07978
        22.4     0.08745
        22.5     0.09586
        22.6      0.1051
        22.7      0.1152
        22.8      0.1263
        22.9      0.1385
          23      0.1518
        23.1      0.1664
        23.2      0.1825
        23.3      0.2001
        23.4      0.2194
        23.5      0.2405
        23.6      0.2637
        23.7      0.2891
        23.8       0.317
        23.9      0.3476
          24      0.3811
        24.1      0.4179
        24.2      0.4582
        24.3      0.5024
        24.4      0.5509
        24.5       0.604
        24.6      0.6623
        24.7      0.7262
        24.8      0.7962
        24.9       0.873
          25      0.9573
        25.1        1.05
        25.2       1.151
        25.3       1.262
        25.4       1.384
        25.5       1.517
        25.6       1.664
        25.7       1.824
        25.8           2
        25.9       2.193
          26       2.405
