#        mag         err
#
          14     0.02001
        14.1     0.02001
        14.2     0.02002
        14.3     0.02002
        14.4     0.02002
        14.5     0.02002
        14.6     0.02002
        14.7     0.02002
        14.8     0.02003
        14.9     0.02003
          15     0.02003
        15.1     0.02004
        15.2     0.02004
        15.3     0.02004
        15.4     0.02005
        15.5     0.02005
        15.6     0.02006
        15.7     0.02006
        15.8     0.02007
        15.9     0.02007
          16     0.02008
        16.1     0.02009
        16.2      0.0201
        16.3     0.02011
        16.4     0.02012
        16.5     0.02013
        16.6     0.02014
        16.7     0.02016
        16.8     0.02018
        16.9     0.02019
          17     0.02021
        17.1     0.02023
        17.2     0.02026
        17.3     0.02029
        17.4     0.02032
        17.5     0.02035
        17.6     0.02039
        17.7     0.02043
        17.8     0.02048
        17.9     0.02053
          18     0.02059
        18.1     0.02065
        18.2     0.02073
        18.3     0.02081
        18.4      0.0209
        18.5     0.02101
        18.6     0.02112
        18.7     0.02126
        18.8     0.02141
        18.9     0.02158
          19     0.02178
        19.1       0.022
        19.2     0.02225
        19.3     0.02254
        19.4     0.02286
        19.5     0.02323
        19.6     0.02366
        19.7     0.02414
        19.8     0.02469
        19.9     0.02532
          20     0.02603
        20.1     0.02684
        20.2     0.02776
        20.3      0.0288
        20.4     0.02997
        20.5      0.0313
        20.6      0.0328
        20.7     0.03449
        20.8     0.03639
        20.9     0.03851
          21     0.04088
        21.1     0.04353
        21.2     0.04648
        21.3     0.04977
        21.4     0.05341
        21.5     0.05745
        21.6     0.06191
        21.7     0.06686
        21.8     0.07231
        21.9     0.07833
          22     0.08496
