#        mag         err
#
          14     0.02008
        14.1     0.02008
        14.2     0.02009
        14.3      0.0201
        14.4     0.02011
        14.5     0.02012
        14.6     0.02013
        14.7     0.02015
        14.8     0.02016
        14.9     0.02018
          15     0.02019
        15.1     0.02021
        15.2     0.02023
        15.3     0.02026
        15.4     0.02028
        15.5     0.02031
        15.6     0.02034
        15.7     0.02038
        15.8     0.02041
        15.9     0.02046
          16      0.0205
        16.1     0.02056
        16.2     0.02061
        16.3     0.02068
        16.4     0.02075
        16.5     0.02083
        16.6     0.02091
        16.7     0.02101
        16.8     0.02112
        16.9     0.02124
          17     0.02137
        17.1     0.02152
        17.2     0.02169
        17.3     0.02188
        17.4     0.02209
        17.5     0.02233
        17.6      0.0226
        17.7      0.0229
        17.8     0.02324
        17.9     0.02362
          18     0.02404
        18.1     0.02452
        18.2     0.02507
        18.3     0.02568
        18.4     0.02637
        18.5     0.02714
        18.6     0.02801
        18.7     0.02899
        18.8     0.03009
        18.9     0.03133
          19     0.03271
        19.1     0.03426
        19.2     0.03599
        19.3     0.03793
        19.4     0.04008
        19.5     0.04248
        19.6     0.04515
        19.7     0.04811
        19.8      0.0514
        19.9     0.05504
          20     0.05906
        20.1     0.06351
        20.2     0.06841
        20.3     0.07383
        20.4     0.07979
        20.5     0.08636
        20.6     0.09359
        20.7      0.1015
        20.8      0.1103
        20.9      0.1199
          21      0.1305
        21.1      0.1421
        21.2      0.1548
        21.3      0.1688
        21.4      0.1842
        21.5       0.201
        21.6      0.2195
        21.7      0.2398
        21.8       0.262
        21.9      0.2864
          22      0.3132
