#        mag         err
#
          14        0.03
        14.1     0.03001
        14.2     0.03001
        14.3     0.03001
        14.4     0.03001
        14.5     0.03001
        14.6     0.03001
        14.7     0.03002
        14.8     0.03002
        14.9     0.03002
          15     0.03003
        15.1     0.03003
        15.2     0.03004
        15.3     0.03005
        15.4     0.03006
        15.5     0.03007
        15.6     0.03008
        15.7      0.0301
        15.8     0.03012
        15.9     0.03014
          16     0.03017
        16.1      0.0302
        16.2     0.03024
        16.3     0.03029
        16.4     0.03035
        16.5     0.03042
        16.6      0.0305
        16.7      0.0306
        16.8     0.03072
        16.9     0.03087
          17     0.03104
        17.1     0.03124
        17.2     0.03149
        17.3     0.03178
        17.4     0.03213
        17.5     0.03255
        17.6     0.03304
        17.7     0.03362
        17.8      0.0343
        17.9     0.03511
          18     0.03606
        18.1     0.03716
        18.2     0.03845
        18.3     0.03994
        18.4     0.04166
        18.5     0.04364
        18.6     0.04591
        18.7      0.0485
        18.8     0.05144
        18.9     0.05477
          19     0.05851
        19.1     0.06272
        19.2     0.06744
        19.3      0.0727
        19.4     0.07857
        19.5     0.08509
        19.6     0.09231
        19.7      0.1003
        19.8      0.1092
        19.9      0.1189
          20      0.1297
        20.1      0.1416
        20.2      0.1547
        20.3       0.169
        20.4      0.1849
        20.5      0.2022
        20.6      0.2213
        20.7      0.2423
        20.8      0.2654
        20.9      0.2906
          21      0.3184
        21.1      0.3489
        21.2      0.3823
        21.3      0.4189
        21.4      0.4592
        21.5      0.5033
        21.6      0.5517
        21.7      0.6047
        21.8      0.6629
        21.9      0.7268
          22      0.7968
