#         Mr          fb
#
           2      0.4996
         2.1      0.4996
         2.2      0.4995
         2.3      0.4994
         2.4      0.4994
         2.5      0.4993
         2.6      0.4992
         2.7      0.4991
         2.8       0.499
         2.9      0.4989
           3      0.4987
         3.1      0.4986
         3.2      0.4984
         3.3      0.4982
         3.4      0.4979
         3.5      0.4977
         3.6      0.4974
         3.7       0.497
         3.8      0.4967
         3.9      0.4963
           4      0.4958
         4.1      0.4953
         4.2      0.4947
         4.3       0.494
         4.4      0.4933
         4.5      0.4925
         4.6      0.4915
         4.7      0.4905
         4.8      0.4894
         4.9      0.4881
           5      0.4867
         5.1      0.4851
         5.2      0.4834
         5.3      0.4814
         5.4      0.4793
         5.5       0.477
         5.6      0.4744
         5.7      0.4716
         5.8      0.4686
         5.9      0.4653
           6      0.4617
         6.1      0.4578
         6.2      0.4537
         6.3      0.4493
         6.4      0.4446
         6.5      0.4397
         6.6      0.4345
         6.7      0.4291
         6.8      0.4235
         6.9      0.4178
           7      0.4119
         7.1       0.406
         7.2         0.4
         7.3       0.394
         7.4      0.3881
         7.5      0.3822
         7.6      0.3765
         7.7      0.3709
         7.8      0.3655
         7.9      0.3603
           8      0.3554
         8.1      0.3507
         8.2      0.3463
         8.3      0.3422
         8.4      0.3383
         8.5      0.3347
         8.6      0.3314
         8.7      0.3284
         8.8      0.3256
         8.9       0.323
           9      0.3207
         9.1      0.3186
         9.2      0.3166
         9.3      0.3149
         9.4      0.3133
         9.5      0.3119
         9.6      0.3106
         9.7      0.3095
         9.8      0.3085
         9.9      0.3075
          10      0.3067
        10.1       0.306
        10.2      0.3053
        10.3      0.3047
        10.4      0.3042
        10.5      0.3037
        10.6      0.3033
        10.7       0.303
        10.8      0.3026
        10.9      0.3023
          11      0.3021
        11.1      0.3018
        11.2      0.3016
        11.3      0.3014
        11.4      0.3013
        11.5      0.3011
        11.6       0.301
        11.7      0.3009
        11.8      0.3008
        11.9      0.3007
          12      0.3006
        12.1      0.3006
        12.2      0.3005
        12.3      0.3004
        12.4      0.3004
        12.5      0.3003
        12.6      0.3003
        12.7      0.3003
        12.8      0.3002
        12.9      0.3002
          13      0.3002
