#         gi          ri
#
        0.05    -0.04225
        0.15   -0.003731
        0.25     0.04783
        0.35     0.08486
        0.45      0.1152
        0.55      0.1423
        0.65      0.1722
        0.75      0.2007
        0.85      0.2274
        0.95      0.2538
        1.05      0.2803
        1.15      0.3073
        1.25      0.3374
        1.35      0.3667
        1.45      0.3995
        1.55      0.4357
        1.65      0.4745
        1.75      0.5184
        1.85      0.5691
        1.95       0.628
        2.05      0.6976
        2.15      0.7774
        2.25      0.8659
        2.35      0.9612
        2.45       1.058
        2.55       1.152
        2.65       1.243
        2.75        1.33
        2.85       1.409
        2.95       1.486
        3.05       1.559
        3.15       1.635
        3.25       1.713
        3.35       1.787
        3.45       1.873
        3.55       1.973
        3.65       2.059
        3.75       2.132
        3.85       2.221
        3.95       2.332
