#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
      94  336.432781  -1.044290   51075.233211   51075.455014 286.855205   0.009477 336.432669  -1.051504
     109   36.241560  -1.250552   51078.390783   51078.474944 283.391747   0.008279  36.241630  -1.258181
     125  350.469713  -1.252751   51081.255759   51081.495289 287.818732   0.007781 350.469635  -1.259662
     211   42.581119  -1.265174   51115.307000   51115.462055 283.219780   0.007975  42.581205  -1.272124
     240   15.189624  -1.264407   51132.185032   51132.248851 290.578187   0.010103  15.189603  -1.274465
     250   15.357149  -1.036114   51133.183000   51133.366999  62.095899   0.024055  15.356853  -1.018596
     259    8.375163  -1.047193   51134.160415   51134.390536 299.408811   0.007597   8.375113  -1.054284
     273   11.502728  -1.257735   51136.164000   51136.380853 286.541530   0.008068  11.502713  -1.265772
     297   61.151036  -1.153733   51139.293000   51139.372609  92.038416   0.040845  61.150336  -1.132765
     307   77.534484  -0.881988   51140.336000   51140.408561 318.930778   0.012093  77.534574  -0.892605
     308  107.889967  -0.886602   51140.420000   51140.505000 271.301292   0.009619 107.890109  -0.883855
     727  235.005745  -1.271876   51251.467705   51251.497121 289.317131   0.006134 235.005666  -1.266894
     745  160.353153  -1.061515   51257.245736   51257.494421 289.613188   0.005337 160.353215  -1.057382
     752  145.143546  -1.267896   51258.200869   51258.496088 269.084259   0.009016 145.143657  -1.260416
     756  117.406346  -1.056291   51259.121346   51259.453492 251.702115   0.008736 117.406458  -1.050038
     994   78.724161   2.986844   51457.451506   51457.502091 275.044012  15.000775  78.508332  -1.277907
    1000  359.688431  49.114731   51458.204579   51458.276725 181.180816 -92.815716  50.302341  -1.152418
    1006   64.134859  -1.159553   51458.468436   51458.491240 250.771685   0.001138  64.134882  -1.159685
    1009  309.422727  -1.055091   51459.182676   51459.272237 292.702508   0.004268 309.422652  -1.056319
    1010   13.959018  -3.525237   51459.286256   51459.317768  94.929341   2.488812  13.943366  -1.067206
    1011  356.846197  13.798957   51459.360744   51459.428329 275.004574  15.001812 357.081837  -1.057063
    1013   58.117809  -1.159918   51459.445270   51459.486319 276.389441   0.003420  58.117863  -1.162037
    1022    4.056246  13.962388   51463.300571   51463.381009 274.974967  15.005361   4.083245  -1.041122
    1024   37.815055  -9.464069   51463.397851   51463.457973  94.927513   9.991926  37.318234  -1.043744
    1033  318.620773  -1.053269   51464.171742   51464.269181  37.794552   0.016415 318.620717  -1.037146
    1035    6.987860  13.730291   51464.309251   51464.381812 274.965525  14.999218   6.930521  -1.259953
    1037   41.314421  -9.354640   51464.417745   51464.496939  95.000000  10.000000  40.766394  -1.261419
    1040  302.195208  -1.266055   51465.111825   51465.171947 299.100517   0.002680 302.195149  -1.266200
    1043    1.415976  13.917855   51465.293308   51465.387015 274.998119  15.001056   1.520683  -1.055072
    1045   35.710824  -9.678777   51465.406545   51465.494447  94.995382   9.998975  35.233157  -1.055598
    1056  326.068825  -1.291620   51467.283353   51467.374987  41.614458   0.000536 326.068822  -1.291101
    1057   56.584872  -1.162702   51467.387819   51467.428868 319.508963   0.000698  56.584874  -1.163394
    1122  126.146460  -1.269327   51582.313963   51582.359573  73.464298   0.000260 126.146457  -1.269534
    1140  154.442316  -3.209565   51586.355062   51586.497281 274.972125   2.498445 154.489566  -1.056880
    1231  170.799173  -3.687785   51606.402258   51606.486843 275.015303   2.498126 170.825691  -1.265996
    1239  121.936883  -1.266681   51607.195900   51607.269290  67.817534   0.004771 121.936821  -1.270547
    1241  139.908207  -3.031926   51607.286968   51607.359943 275.081581   2.491831 139.974621  -1.274111
    1302  112.681451  30.982125   51633.218119   51633.395167  95.000990  64.999607 130.218286  -1.055833
    1331  111.976589  29.517348   51638.168269   51638.279390  95.001392  64.996120 128.645571  -1.260819
    1332  147.840146  58.154328   51638.295191   51638.319240  95.009102  64.979450 166.415473  -1.244172
    1334  198.216916  -1.057531   51638.332517   51638.365687 277.603515   0.000793 198.216914  -1.056752
    1336  250.891960  64.238990   51638.383990   51638.420063  94.975170  79.955550 208.356425  -1.005890
